
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 1.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
1254	146	98
1255	163	109
1256	174	123
1257	176	134
1258	175	134
1259	165	123
1260	149	103
1261	132	84
1262	110	72
1263	89	73
1264	71	82
1265	60	91
1266	59	96
1267	65	95
1268	79	91
1269	98	91
1270	120	100
1271	141	116
1272	159	135
1273	173	149
1274	181	149
1275	181	139
1276	176	121
1277	162	105
1278	143	97
1279	121	98
1280	98	103
1281	80	105
1282	67	104
1283	65	96
1284	67	88
1285	79	88
1286	95	100
1287	115	121
1288	135	142
1289	155	156
1290	173	157
1291	184	149
1292	186	137
1293	184	127
1294	172	125
1295	153	127
1296	131	129
1297	110	128
1298	91	118
1299	78	103
1300	71	94
1301	71	93
1302	78	106
1303	92	128
1304	110	148
1305	131	159
1306	154	159
1307	174	153
1308	187	146
1309	192	145
1310	190	150
1311	180	156
1312	163	156
1313	143	149
1314	122	133
1315	103	115
1316	87	102
1317	77	103
1318	75	115
1319	77	134
1320	88	149
1321	107	157
1322	129	157
1323	153	153
1324	173	153
1325	188	159
1326	195	170
1327	195	181
1328	187	181
1329	174	171
1330	155	151
1331	136	131
1332	115	119
1333	96	119
1334	82	130
1335	76	143
1336	77	152
1337	88	153
1338	106	151
1339	127	151
1340	150	156
1341	171	169
1342	187	186
1343	197	199
1344	198	199
1345	196	190
1346	185	170
1347	169	152
1348	147	142
1349	125	142
1350	104	149
1351	88	156
1352	80	156
1353	81	152
1354	89	146
1355	105	146
1356	124	155
1357	145	174
1358	166	195
1359	183	208
1360	197	209
1361	203	200
1362	203	186
1363	195	172
1364	179	166
1365	157	167
1366	134	171
1367	113	171
1368	97	166
1369	87	154
1370	86	145
1371	90	144
1372	102	155
1373	119	176
1374	139	198
1375	161	212
1376	181	212
1377	198	205
1378	208	195
1379	208	190
1380	201	190
1381	186	194
1382	165	195
1383	145	191
1384	124	177
1385	107	161
1386	95	149
1387	89	148
1388	90	158
1389	99	178
1390	114	197
1391	134	208
1392	157	208
1393	179	204
1394	196	199
1395	208	200
1396	209	208
1397	205	217
1398	193	218
1399	176	209
1400	156	192
1401	136	171
1402	117	157
1403	102	156
1404	92	166
1405	91	181
1406	96	193
1407	110	199
1408	130	199
1409	152	196
1410	174	197
1411	193	207
1412	205	220
1413	209	232
1414	209	233
1415	200	225
1416	186	206
1417	168	185
1418	147	171
1419	127	170
1420	108	177
1421	95	187
1422	93	192
1423	96	191
1424	107	186
1425	126	185
1426	146	191
1427	167	207
1428	186	225
1429	201	239
1430	208	240
1431	210	233
1432	207	216
1433	195	199
1434	177	187
1435	155	187
1436	133	192
1437	114	195
1438	100	194
1439	95	185
1440	96	176
1441	105	174
1442	120	182
1443	139	201
1444	158	223
1445	178	237
1446	196	238
1447	209	232
1448	213	219
1449	212	209
1450	201	205
1451	183	206
1452	162	208
1453	140	207
1454	121	197
1455	106	183
1456	98	169
1457	97	167
1458	102	175
1459	113	194
1460	130	215
1461	150	229
1462	171	230
1463	191	225
1464	207	216
1465	213	214
1466	213	217
1467	204	222
1468	188	223
1469	169	218
1470	149	202
1471	130	183
1472	113	167
1473	102	165
1474	96	172
1475	97	188
1476	106	204
1477	122	214
1478	143	214
1479	165	210
1480	186	209
1481	202	211
1482	210	221
1483	211	232
1484	205	233
1485	194	226
1486	177	208
1487	158	186
1488	138	170
1489	118	168
1490	102	173
1491	93	185
1492	92	194
1493	100	195
1494	115	193
1495	135	192
1496	157	194
1497	177	204
1498	194	220
1499	205	233
1500	209	235
1501	208	229
1502	199	211
1503	184	190
1504	165	177
1505	143	174
1506	121	177
1507	104	184
1508	93	185
1509	91	181
1510	96	173
1511	109	171
1512	126	176
1513	145	191
1514	166	212
1515	184	227
1516	199	229
1517	208	223
1518	209	207
1519	203	193
1520	189	183
1521	169	182
1522	146	185
1523	125	185
1524	106	180
1525	94	168
1526	90	156
1527	92	153
1528	101	158
1529	116	176
1530	134	197
1531	155	213
1532	175	215
1533	193	210
1534	205	198
1535	207	190
1536	203	188
1537	190	191
1538	171	192
1539	151	189
1540	129	177
1541	110	158
1542	97	144
1543	88	140
1544	87	144
1545	92	161
1546	104	180
1547	123	193
1548	144	194
1549	166	190
1550	186	183
1551	199	182
1552	202	187
1553	201	196
1554	191	197
1555	175	192
1556	156	175
1557	135	153
1558	116	136
1559	98	132
1560	86	135
1561	82	150
1562	84	161
1563	95	168
1564	113	168
1565	135	165
1566	157	164
1567	176	169
1568	190	181
1569	198	193
1570	198	195
1571	192	191
1572	178	172
1573	161	151
1574	140	133
1575	119	129
1576	98	132
1577	83	141
1578	76	147
1579	77	147
1580	87	142
1581	104	138
1582	124	140
1583	145	152
1584	164	169
1585	180	185
1586	191	187
1587	194	183
1588	193	166
1589	182	148
1590	165	134
1591	144	131
1592	120	133
1593	98	136
1594	82	135
1595	74	128
1596	73	117
1597	80	114
1598	94	117
1599	111	133
1600	132	153
1601	152	169
1602	170	172
1603	185	169
1604	192	155
1605	192	143
1606	183	135
1607	167	135
1608	145	136
1609	122	136
1610	101	128
1611	84	113
1612	74	98
1613	71	93
1614	73	96
1615	82	112
1616	98	132
1617	118	148
1618	140	151
1619	162	149
1620	178	139
1621	188	133
1622	188	133
1623	181	138
1624	167	139
1625	147	137
1626	126	123
1627	105	102
1628	87	86
1629	73	79
1630	65	82
1631	65	97
1632	72	113
1633	87	124
1634	107	125
1635	130	122
1636	152	118
1637	170	119
1638	181	127
1639	182	138
1640	179	140
1641	167	137
1642	151	120
1643	131	97
1644	110	80
1645	89	72
1646	72	74
1647	61	85
1648	59	96
1649	64	99
1650	78	98
1651	97	95
1652	119	94
1653	141	103
1654	159	117
1655	172	131
1656	178	135
1657	178	133
1658	170	116
1659	156	95
1660	136	77
1661	114	71
1662	91	73
1663	71	80
1664	58	82
1665	56	80
1666	58	73
1667	70	69
1668	87	71
1669	107	83
1670	128	102
1671	147	120
1672	163	125
1673	173	122
1674	175	108
1675	172	91
1676	158	80
1677	139	77
1678	116	78
1679	93	79
1680	73	77
1681	59	66
1682	53	54
1683	54	48
1684	62	50
1685	77	66
1686	95	87
1687	116	104
1688	137	109
1689	155	108
1690	169	96
1691	173	87
1692	171	82
1693	159	83
1694	142	86
1695	120	85
1696	98	75
1697	78	58
1698	62	41
1699	53	33
1700	51	35
1701	54	50
1702	66	70
1703	84	85
1704	105	89
1705	128	88
1706	148	81
1707	163	79
1708	169	81
1709	169	89
1710	159	92
1711	144	90
1712	125	76
1713	105	56
1714	84	36
1715	66	27
1716	52	29
1717	46	42
1718	47	57
1719	58	67
1720	75	68
1721	97	66
1722	119	65
1723	140	67
1724	156	79
1725	165	91
1726	165	97
1727	161	95
1728	149	79
1729	133	58
1730	112	38
1731	90	30
1732	69	31
1733	53	41
1734	44	49
1735	44	50
1736	52	48
1737	69	44
1738	88	45
1739	110	55
1740	130	72
1741	147	88
1742	159	96
1743	164	95
1744	163	81
1745	155	61
1746	139	46
1747	118	40
1748	95	41
1749	73	46
1750	55	46
1751	45	42
1752	44	32
1753	49	26
1754	62	28
1755	80	42
1756	99	63
1757	120	83
1758	140	91
1759	156	90
1760	165	78
1761	165	65
1762	159	56
1763	144	55
1764	123	57
1765	100	57
1766	79	53
1767	61	40
1768	49	25
1769	45	17
1770	47	19
1771	57	35
1772	70	55
1773	90	73
1774	112	81
1775	134	81
1776	152	73
1777	164	65
1778	165	64
1779	161	69
1780	148	73
1781	130	73
1782	109	62
1783	88	44
1784	70	25
1785	55	15
1786	46	17
1787	45	30
1788	50	49
1789	64	62
1790	83	68
1791	106	67
1792	129	63
1793	148	63
1794	161	70
1795	163	81
1796	162	88
1797	153	88
1798	138	74
1799	119	54
1800	99	34
1801	78	23
1802	61	25
1803	48	35
1804	45	48
1805	47	56
1806	60	56
1807	79	54
1808	101	54
1809	123	60
1810	143	74
1811	156	91
1812	164	100
1813	164	99
1814	160	87
1815	147	66
1816	130	48
1817	108	40
1818	86	41
1819	66	48
1820	52	54
1821	47	54
1822	48	49
1823	59	43
1824	75	44
1825	95	56
1826	116	74
1827	136	94
1828	152	106
1829	164	106
1830	168	94
1831	167	79
1832	157	66
1833	139	61
1834	117	62
1835	94	66
1836	74	66
1837	59	59
1838	51	46
1839	50	38
1840	57	39
1841	71	53
1842	88	75
1843	109	95
1844	130	107
1845	150	107
1846	165	98
1847	172	88
1848	172	84
1849	163	85
1850	147	88
1851	127	88
1852	105	83
1853	85	69
1854	69	52
1855	58	42
1856	54	43
1857	56	56
1858	66	76
1859	83	94
1860	104	104
1861	127	104
1862	149	98
1863	165	96
1864	175	97
1865	175	106
1866	169	114
1867	156	114
1868	138	103
1869	118	85
1870	97	65
1871	79	52
1872	65	53
1873	56	65
1874	55	81
1875	64	93
1876	80	98
1877	100	97
1878	124	96
1879	146	98
1880	163	108
1881	174	122
1882	176	134
1883	175	134
1884	165	123
1885	150	103
1886	131	83
1887	110	72
1888	89	73
1889	71	82
1890	61	91
1891	59	95
1892	65	95
1893	79	91
1894	98	91
1895	120	100
1896	141	116
1897	159	136
1898	173	149
1899	181	149
1900	181	139
1901	176	121
1902	162	105
1903	143	97
1904	121	98
1905	98	103
1906	80	106
1907	68	105
1908	66	96
1909	68	89
1910	79	89
1911	95	101
1912	115	121
1913	135	142
1914	156	156
1915	173	157
1916	185	149
1917	187	136
1918	184	127
1919	172	125
1920	153	127
1921	132	128
1922	109	127
1923	91	118
1924	77	103
1925	71	92
1926	71	91
1927	78	106
1928	92	127
1929	110	148
1930	131	159
1931	154	159
1932	173	152
1933	188	146
1934	192	145
1935	191	151
1936	179	156
1937	162	156
1938	143	149
1939	122	132
1940	103	114
1941	87	103
1942	77	103
1943	75	115
1944	77	134
1945	88	150
1946	107	157
1947	130	157
1948	153	155
1949	174	154
1950	188	159
1951	195	171
1952	195	181
1953	188	181
1954	174	171
1955	156	151
1956	136	131
1957	115	119
1958	95	119
1959	82	130
1960	76	143
1961	77	151
1962	88	152
1963	106	151
1964	127	151
1965	150	156
1966	170	169
1967	187	185
1968	197	199
1969	198	199
1970	196	191
1971	185	170
1972	168	152
1973	148	142
1974	125	142
1975	104	149
1976	88	156
1977	80	156
1978	81	152
1979	89	147
1980	105	147
1981	124	156
1982	145	174
1983	166	195
1984	184	209
1985	197	210
1986	203	200
1987	203	186
1988	194	173
1989	178	166
1990	157	167
1991	134	172
1992	113	172
