
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
1172	203	233
1173	211	233
1174	216	225
1175	216	217
1176	216	215
1177	216	217
1178	216	220
1179	216	220
1180	216	210
1181	213	193
1182	204	175
1183	194	163
1184	186	164
1185	182	176
1186	183	195
1187	189	211
1188	196	217
1189	200	217
1190	205	213
1191	205	212
1192	209	216
1193	211	225
1194	216	231
1195	220	231
1196	220	218
1197	217	197
1198	209	177
1199	198	165
1200	189	165
1201	184	175
1202	185	188
1203	186	197
1204	191	197
1205	192	196
1206	194	195
1207	194	200
1208	197	212
1209	203	227
1210	211	236
1211	218	235
1212	219	222
1213	218	201
1214	211	182
1215	201	171
1216	193	170
1217	187	176
1218	186	183
1219	185	183
1220	184	179
1221	184	175
1222	180	174
1223	181	184
1224	184	201
1225	191	220
1226	201	231
1227	209	231
1228	212	219
1229	211	200
1230	207	186
1231	200	179
1232	195	180
1233	191	182
1234	189	182
1235	186	175
1236	181	163
1237	176	154
1238	170	154
1239	168	166
1240	169	185
1241	177	206
1242	187	218
1243	196	218
1244	201	209
1245	201	197
1246	199	189
1247	195	187
1248	193	189
1249	193	189
1250	191	183
1251	187	168
1252	180	152
1253	170	140
1254	162	139
1255	158	150
1256	159	169
1257	164	187
1258	172	197
1259	179	197
1260	184	191
1261	185	185
1262	185	185
1263	185	190
1264	188	195
1265	189	195
1266	189	184
1267	186	165
1268	175	145
1269	166	131
1270	156	130
1271	151	139
1272	150	153
1273	153	167
1274	157	170
1275	162	170
1276	164	167
1277	165	168
1278	166	176
1279	171	187
1280	176	196
1281	182	196
1282	183	183
1283	181	162
1284	173	141
1285	162	128
1286	153	127
1287	146	132
1288	145	142
1289	146	148
1290	146	148
1291	146	143
1292	145	142
1293	144	147
1294	148	161
1295	153	178
1296	162	189
1297	170	189
1298	173	178
1299	172	159
1300	166	140
1301	157	129
1302	149	128
1303	144	131
1304	142	133
1305	138	131
1306	137	124
1307	132	116
1308	128	115
1309	127	124
1310	128	142
1311	135	161
1312	145	175
1313	153	175
1314	157	166
1315	157	151
1316	155	139
1317	149	132
1318	144	132
1319	142	133
1320	139	131
1321	136	121
1322	130	106
1323	122	94
1324	113	93
1325	110	102
1326	111	121
1327	116	141
