
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
1893	151	216
1894	155	210
1895	155	202
1896	154	195
1897	149	190
1898	145	189
1899	141	193
1900	139	201
1901	140	214
1902	143	228
1903	148	242
1904	155	254
1905	161	255
1906	165	255
1907	166	255
1908	165	246
1909	159	230
1910	150	210
1911	137	189
1912	123	169
1913	108	153
1914	95	145
1915	84	141
1916	77	142
1917	76	149
1918	77	160
1919	83	172
1920	92	184
1921	103	193
1922	114	197
1923	123	197
1924	129	193
1925	134	186
1926	134	177
1927	133	169
1928	131	163
1929	128	162
1930	126	167
1931	126	176
1932	129	191
1933	136	208
1934	144	227
1935	154	243
1936	163	255
1937	172	255
1938	178	255
1939	179	255
1940	178	244
1941	172	227
1942	161	208
1943	147	190
1944	132	173
1945	118	161
1946	105	155
1947	95	154
1948	89	157
1949	88	165
1950	89	174
1951	94	182
1952	100	188
1953	107	189
1954	113	187
1955	117	179
1956	118	169
1957	118	157
1958	115	147
1959	111	138
1960	107	135
1961	104	136
1962	105	145
1963	108	158
1964	115	176
1965	126	196
1966	138	217
1967	152	233
1968	164	245
1969	175	251
1970	182	251
1971	184	243
1972	183	231
1973	176	215
1974	166	200
1975	154	186
1976	141	175
1977	128	169
1978	118	168
1979	111	171
1980	107	178
1981	106	184
1982	108	191
1983	112	195
1984	115	195
1985	118	190
1986	118	180
1987	117	166
1988	113	151
1989	107	135
1990	100	122
1991	93	113
1992	87	112
1993	85	115
1994	86	125
1995	92	141
1996	101	160
1997	114	181
1998	129	199
1999	144	214
2000	158	224
2001	169	226
2002	176	225
2003	178	218
2004	177	207
2005	172	195
2006	164	185
2007	154	176
2008	145	173
2009	136	173
2010	130	178
2011	127	186
2012	127	195
2013	129	203
2014	131	207
2015	134	207
2016	135	203
2017	135	192
2018	131	177
2019	124	158
2020	115	139
2021	104	121
2022	93	106
2023	83	99
2024	76	97
2025	73	101
2026	74	112
2027	80	129
2028	90	147
2029	104	164
2030	118	179
2031	133	189
2032	146	195
2033	156	195
2034	162	191
2035	163	183
2036	163	175
2037	159	166
2038	153	161
2039	147	160
2040	142	164
2041	139	171
2042	139	182
2043	141	195
2044	145	207
2045	149	215
2046	153	217
2047	156	216
2048	156	207
2049	152	192
2050	145	173
2051	134	153
2052	121	133
2053	107	115
2054	93	101
2055	82	94
2056	74	93
2057	71	99
2058	72	110
2059	77	124
2060	87	138
2061	98	151
2062	111	159
2063	123	163
2064	133	163
2065	139	159
2066	143	152
2067	143	144
2068	142	137
2069	139	133
2070	136	133
2071	133	138
2072	133	149
2073	136	162
2074	141	179
2075	149	195
2076	156	208
2077	164	216
2078	170	217
2079	172	215
2080	172	204
2081	167	188
2082	158	169
2083	145	149
2084	131	130
2085	115	114
2086	101	103
2087	90	99
2088	82	100
2089	79	107
2090	80	116
2091	84	126
2092	91	135
2093	100	142
2094	109	143
2095	116	141
2096	121	135
2097	123	125
2098	123	115
2099	121	106
2100	118	100
2101	115	99
2102	114	103
